entity,entity_category,behavior,condition_type,condition,entity_facts,question,question_context,condition_met,ground_truth_answer
Gideon,character,paints tiny sailboats inside used teacups,mood,when he feels wistful after finding a childhood keepsake,"[""Gideon keeps his small studio filled with mismatched teacups and jars of paint. He has a habit of painting tiny sailboats inside those used teacups, as if making miniature voyages. Friends joke that his workbench looks like a retired tea party has been repurposed for art. He collects small keepsakes from his childhood\u2014a dented tin soldier, a faded postcard tucked in a book. Those artifacts sometimes resurface and leave him feeling peculiarly nostalgic and soft. On Sundays he wanders the flea markets, chatting with stall owners and testing old china for character. He drinks chamomile while listening to classical radio, which keeps his hands steady. It's usually in those wistful, quiet moods that this little, private ritual reappears. Neighbors know to expect a gentle clink of porcelain late in the evening and a letter to a long-lost friend tucked under a saucer.""]",We just found Gideon's old toy soldier in the attic; would he paint tiny sailboats in a teacup right now?,found an old toy soldier in the attic,yes,"Yes — finding a childhood keepsake makes him feel wistful, which is exactly when he paints sailboats in teacups."
Hannah,person,annotates margins with metaphors,task_type,only when editing fiction (short stories or novels),"[""Hannah edits from a sunlit corner of the cafe, surrounded by battered notebooks. She often fills margins with vivid metaphors, turning flat sentences into small, glittering comparisons. Her friends say she treats language like a garden that needs pruning and planting in equal measure. She's been on a steady diet of short stories and novels lately, reading aloud to feel pacing and voice. Those editing sessions for fiction can stretch for hours and demand a different ear from her usual proofreading work. She likes to underline odd word choices and to pace in tiny circles between paragraphs. Her cat naps on the footstool while she mutters and flips pages. It's usually during those deep fiction edits that the metaphor-strewn margins start to appear. On Tuesdays she meets a writers' group to trade red pens and encouragement.""]",I'm handing Hannah the company's annual safety handbook to proofread this afternoon; will she annotate the margins with metaphors?,reviewing the annual safety handbook,no,"No — she reserves metaphor annotations for fiction editing, not for a safety handbook."
Kumo,pet,brings the blue squeaky whale to greet visitors,prior_activity,immediately after being given a bath,"[""Kumo is a small, glossy-coated dog with an irrepressible bounce and a guilty streak for stolen socks. She never greets newcomers empty-pawed: a blue squeaky whale is her ambassador. Baths are a ceremonious affair in that household, involving towels, a spritz of pet-safe cologne and a triumphant towel roll. The family keeps the little whale in a laundry basket near the tub, stained from years of enthusiastic chewing. Fresh from the sink and towel, she smells of shampoo and prances with a plume of clean fur. Guests often comment on her dramatic entrances and insist on offering treats. Her tail paints lazy arcs across the laminate floor whenever the doorbell rings. It's usually in those freshly-scented, post-groom moments that she trots out her favorite toy to present at the door. The whale's squeak has become a neighborhood signal that someone new has arrived.""]",We just bathed Kumo five minutes ago and dried her off; should we expect her to bring the blue squeaky whale to guests now?,just bathed and dried five minutes ago,yes,Yes — Kumo brings the blue squeaky whale specifically right after being bathed.
Pip,pet,sprawls across any nearby keyboard and refuses to move,temperature,when ambient room temperature is below 16°C,"[""Pip is a plump tabby who performs dramatic impressions of a sunbeam. He sprawls across any nearby keyboard and refuses to be moved, confident as a sovereign. Everyone in the apartment knows his nap schedule better than the city bus timetable. Windows are usually fogged in winter and the heating kicks on sparingly to save bills. The thermostat slides down under sixteen degrees during the cold snaps, leaving the room raw and crisp. Visitors are often surprised to find him guarding a laptop like a furry sentinel. He purrs with the slow, satisfied thrumming of someone who believes a warm lap is a birthright. It's usually on those frigid, low-thermostat days that he makes a study of any available keyboard. Once the radiator hums he reluctantly unclasps his claws and drifts back to sunbeams.""]",It's 12°C in the living room and my laptop is on the couch; will Pip sprawl across the keyboard if I step away?,living room temperature 12°C,yes,"Yes — the room is below 16°C, and that's when Pip chooses to sprawl on keyboards."
Marisol,character,counts ceiling tiles aloud in public spaces,anxiety_level,when her anxiety is above 7 out of 10,"[""Marisol moves through cities as if taking notes for a novel, cataloging hallway lights and the way strangers tilt their heads. In crowded public places she has a soft, steady habit of counting ceiling tiles aloud, the numbers a quiet metronome. Friends know to wait silently until her voice falls back into the room. Therapy has helped her name sensations; she keeps a small notebook of coping techniques in her bag. There are moments when her anxiety spikes, climbing above the tolerable, measurable stretch of seven on the scale she shares with her clinician. On those afternoons she prefers benches near exits and avoids long lines. She listens to playlists of instrumental tracks and breathes with practiced slowness. Around those high-anxiety stretches her soft tile-counting tends to appear, as if to steady the air. By evening she often texts a friend to say the world has softened a little.""]",Marisol says she's feeling an 8/10 anxious at the gallery opening; would she start counting the ceiling tiles aloud during the event?,anxiety level 8/10 at the gallery opening,yes,"Yes — her rule is that she counts tiles whenever her anxiety is above 7/10, and 8/10 meets that."
Thorne,character,starts building miniature clockwork automatons on a whim,motivation_level,only when his motivation is 8 out of 10 or higher,"[""Thorne's garage-workshop smells of oil and lemon-scented metal polish. He tends to build tiny clockwork automatons, each one wound obsessively and tested until it ticks with a personality. Shelves sag with brass gears and boxes of miniature springs labeled in his careful hand. He keeps a motivation chart on the wall, stickers for weeks when his focus spikes. Some weeks he reports his drive at high numbers\u2014levels that make him impossible to distract, energized and precise. Neighbors hear the soft clicking that means a new prototype has sprung to life. He drinks black coffee and sketches cogs by lamplight during those phases. It's typically during those intense surges of drive that the workbench fills with the tiny, whirring constructions. On slow weeks he cleans rather than creates, hopeful for the next burst.""]",Thorne says he's at about 5/10 motivation today — will he start building one of his miniature clockwork automatons now?,motivation 5/10,no,No — he requires motivation of 8/10 or higher before he begins building automatons.
Eloise,character,uploads her revised mural blueprint to the town forum,approval_received,only after receiving official sketch approval from the town council,"[""Eloise has a reputation as the neighborhood's unofficial muralist, chalk-stained and good-humored. She uploads her revised mural blueprints to the town forum so neighbors can comment and local kids can imagine the colors. Her sketches live in a battered portfolio that smells faintly of acrylic and damp paper. She attends council meetings most months, sketchbook open on the bench like a voter's pamphlet. Formal approvals are a part of the process in this town; a stamped sketch from the council is the sign-off everyone watches for. She keeps copies of previous approvals folded into a folder with sticky notes. Neighbors stop her on errands to ask about color choices and suggested motifs. By the time that official stamp comes through, the online version is usually queued and waiting for its debut. She likes to post a photo with a handful of paint swatches and an encouraging caption.""]",Eloise hasn't heard back from the town council yet; should I expect her to upload the revised mural blueprint today?,no council approval received yet,no,No — she waits for the town council's official sketch approval before uploading the blueprint.
Nacho,pet,launches a loud four-minute bark routine at passersby,location,only when he's perched on the upstairs balcony,"[""Nacho is a compact terrier with boundless alertness and a loud personality for his size. He launches a four-minute barking routine at passersby, a brash, practiced set of yaps and pauses. The family keeps binoculars by the window and a ledger of the day's sightings for fun. He loves vantage points and will climb the stairs in the hope of a better view. His favorite perch is an upstairs balcony where he can see the street below and scent the air for footsteps. Neighbors have learned to wave in return rather than scold. At dawn he patrols that ledge as if guarding a tiny kingdom of potted geraniums. It's usually from that high, outside perch that his theatrical barking performance begins. Once the commotion subsides he likes to receive pats and a quiet treat for a job well done.""]",The delivery person is at the gate and Nacho is sitting by the front door downstairs; will he start his upstairs balcony barking routine?,sitting by the front door downstairs,no,"No — he only performs that barking routine from the upstairs balcony, and he's downstairs now."
Odette,character,does freehand embroidery without using a hoop,lighting,only in direct sunlight outdoors,"[""Odette spends her mornings with a thermos, a sketchbook and a wedge of sunlight on the bench. She tries freehand embroidery without the hoop, letting fabric shift under her fingers and stitches wobble with intention. Her bag is full of odd thimbles and embroidery threads sorted like rainbows. She prefers to work outdoors, watching the city move past as her needle moves in a slow ritual. She seeks spots that are drenched in direct sunlight, where colors pop and her stitches look sharp against the glare. Passersby often stop to admire the loose, painterly quality of her pieces. She hums to herself and feeds bread crusts to a patient pigeon. It's usually in that bright, sunlit patch that she goes without the hoop and trusts her hand. When clouds roll in she packs up, promising to return the next warm day.""]",Odette is stitching under a desk lamp inside the studio this afternoon; will she try freehand embroidery without a hoop right now?,working indoors under a desk lamp (no direct sunlight),no,"No — she only does freehand without a hoop when she's in direct outdoor sunlight, which isn't the case indoors."
Ravi,person,orders the same mango salad and chai lunch combo,streak_state,only while maintaining a five-day gym attendance streak,"[""Ravi logs his workouts with a small, color-coded calendar stuck to his fridge. At the cafe he tends to order the same mango salad paired with a steaming chai, a ritual of flavor and comfort. He eats quickly between commitments and reads articles about strength training on his phone. Lately he's been counting consecutive gym days, proud of streaks that climb past three and four. A five-day streak is a milestone for him\u2014proof that routine has hardened into habit and the endorphins are consistent. Friends cheer him on with supportive messages and the occasional celebratory protein bar. He wears the same navy hoodie on training days like an unofficial uniform. It's usually during one of those solid streaks that he opts for his usual mango salad and chai without experimenting. At the end of the week he frames his calendar and plans next week's meals with the same carefulness.""]",Ravi is on day three of his gym attendance streak today; will he order his usual mango salad and chai at lunch?,day three of gym attendance streak,no,"No — he only orders that combo when he's on a five-day gym streak, and he's only on day three."
