entity,entity_category,behavior,condition_type,condition,entity_facts,question,question_context,condition_met,ground_truth_answer
Selene,character,composes cryptic messages in a hidden journal,mood,when feeling nostalgic,"[""Selene has always been a bit of an enigma among her friends. She enjoys quiet moments alone, often retreating to a cozy nook in her apartment filled with old books and soft candlelight. Her hidden journal is a secret treasure she guards closely. Selene writes cryptic messages in her hidden journal only when she's feeling nostalgic. This habit allows her to channel memories from the past into mysterious notes no one else can easily understand. Outside of these moments, she spends her days exploring vintage shops and collecting odd trinkets. Her nostalgic side often surfaces during rainy afternoons or when she hears a song from her childhood.""]",Selene just found an old photo album from her childhood. Would she start composing cryptic messages in her journal now?,just found an old photo album,yes,"Yes — finding the album triggers her nostalgia, so she composes cryptic messages then."
Elena,person,paints abstract doodles on meeting notes,task_type,when attending brainstorming sessions,"[""Elena is known among her colleagues as a creative spark in any room. She has a playful personality and loves to doodle, often filling the margins of notebooks with whimsical sketches. Elena only paints abstract doodles on her meeting notes during brainstorming sessions. These sessions seem to unlock a different part of her artistic mind, blending colors and shapes without worrying about form. Outside of work, she enjoys hiking and photography, which fuel her inspiration. Friends often tease her about her colorful notes, but they secretly admire her unique style. Elena\u2019s creativity shines brightest when she\u2019s surrounded by a flurry of ideas and collaboration.""]",Elena is currently in a weekly status update meeting. Would she be painting abstract doodles on her notes now?,weekly status update meeting,no,"No — Elena only doodles abstract art during brainstorming sessions, not status updates."
Mochi,pet,buries her favorite toy in the backyard,prior_activity,after playing fetch for more than 20 minutes,"[""Mochi is a lively little dog with a boundless amount of energy. She loves spending time outdoors, especially in the backyard where she can run freely. Mochi buries her favorite toy in the backyard only after playing fetch for more than 20 minutes. This quirky habit seems like a way for her to save her prize for later. Her owner often watches amused as Mochi digs tiny holes and carefully tucks her toy away. Besides fetch, Mochi enjoys chasing butterflies and napping in sunlit patches. Her playful spirit and cleverness make her a beloved companion in the neighborhood.""]",Mochi just finished a 25-minute game of fetch in the yard. Will she bury her favorite toy now?,played fetch for 25 minutes,yes,"Yes — having played fetch over 20 minutes, Mochi will bury her favorite toy now."
Nimbus,pet,curl up tightly in his basket,temperature,when the temperature drops below 10°C,"[""Nimbus, the fluffy cat with a calm demeanor, has a favorite spot in the house\u2014his cozy basket by the window. He spends much of his time napping or observing the world outside. Nimbus curls up tightly in his basket whenever the temperature falls below 10\u00b0C. This behavior keeps him warm and snug during chilly days. Despite his relaxed nature, he enjoys short bursts of play, especially chasing feather toys. Nimbus is particularly affectionate with his owner, often purring loudly when petted. His calm presence brings a sense of peace to the household, especially during colder months.""]",It's 8°C outside today. Would Nimbus curl up tightly in his basket?,8°C outside,yes,"Yes — since it's below 10°C, Nimbus will curl up tightly in his basket."
Vira,character,rearranges all the furniture in her room,anxiety_level,when her anxiety level spikes above 7 out of 10,"[""Vira is a character who values order and control, but she also struggles with bouts of anxiety. She has a keen eye for interior design and enjoys rearranging her space to suit her mood. Vira rearranges all the furniture in her room only if her anxiety level goes over 7 out of 10. This ritual helps her cope and regain a sense of calm and control. On calmer days, she prefers reading or practicing yoga to center herself. Friends notice that her room can look completely different from week to week. Despite the anxiety, Vira\u2019s determination to create a soothing environment is inspiring.""]","Vira just felt a rush of anxiety, rating it at 8 out of 10. Would she start rearranging furniture now?",anxiety level 8/10,yes,"Yes — with anxiety over 7, Vira will rearrange her room furniture."
Casimir,character,writes riddles on sticky notes,motivation_level,only when his motivation level is above 80%,"[""Casimir is a thinker and a lover of puzzles, always intrigued by the challenge of a good riddle. He keeps a stash of colorful sticky notes on his desk, which he uses for jotting down thoughts and ideas. Casimir writes riddles on sticky notes only when his motivation level is above 80%. This means that his riddle-writing is tied closely to his bursts of energy and enthusiasm. He enjoys sharing these riddles with friends, who often look forward to his clever creations. Outside of his puzzles, Casimir spends time hiking and reading philosophy books. His sharp mind and playful spirit make him a fascinating companion.""]",Casimir feels only 60% motivated this morning. Would he write riddles on sticky notes now?,motivation level at 60%,no,"No — Casimir writes riddles only when motivation is above 80%, which it isn't now."
Thalia,character,performs a celebratory dance,approval_received,only after receiving explicit praise from her mentor,"[""Thalia is a spirited character who takes great pride in her growth and achievements. She trains diligently under the guidance of her mentor, always striving to improve her skills. Thalia performs a celebratory dance only after her mentor explicitly praises her. This little tradition is her way of expressing joy and gratitude. When not training, she enjoys painting and playing the guitar, which helps her unwind. Her friends admire her dedication and the way she lights up after receiving encouragement. Thalia\u2019s upbeat personality makes her a source of inspiration for those around her.""]",Thalia just completed a project but hasn't heard any praise from her mentor yet. Would she perform her celebratory dance?,no praise received from mentor,no,"No — without explicit praise from her mentor, Thalia won't do her celebratory dance."
Pip,pet,refuses to eat dinner,location,when inside the vet's office,"[""Pip is a cautious pet with a sensitive nature, especially when it comes to visits to the vet. He usually enjoys his meals at home, relishing every bite with enthusiasm. However, Pip refuses to eat dinner whenever he's inside the vet's office. This reaction shows just how uneasy he feels in that environment. His owner tries to comfort him during these trips, knowing that it\u2019s a stressful experience. Outside of vet visits, Pip loves playing fetch and napping on sunny windowsills. Despite his quirks, Pip is a loving and loyal companion who brings joy to his family.""]",Pip is currently sitting in the living room. Would he refuse to eat his dinner now?,inside living room,no,"No — Pip only refuses dinner when inside the vet's office, not at home."
Arden,character,reads aloud poetry,lighting,only under dim lighting below 150 lux,"[""Arden has a deep appreciation for poetry and often finds solace in reading verses aloud. He enjoys setting a certain atmosphere for his readings, preferring quiet, intimate spaces. Arden reads poetry aloud only when the lighting is dimmer than 150 lux. This preference helps him get into the right mood, as softer light seems to enhance the emotional depth of the words. When not immersed in poetry, Arden likes to write his own pieces and explore local art galleries. His thoughtful nature and love for the arts make him a captivating presence in any creative circle.""]",The room is brightly lit at 300 lux. Would Arden start reading poetry aloud now?,lighting at 300 lux,no,No — Arden reads poetry aloud only when lighting is below 150 lux.
Maya,person,adds an extra workout session,streak_state,only when on a 5-day or longer workout streak,"[""Maya is a fitness enthusiast with a disciplined workout routine that she sticks to diligently. She enjoys pushing her limits and tracking her progress over time. Maya adds an extra workout session only if she's currently on a workout streak of 5 days or more. This approach helps her maintain momentum and avoid burnout. When not exercising, Maya loves cooking healthy meals and hiking with friends. Her dedication to her fitness goals is inspiring, and she often motivates others to stay active. Maya\u2019s balanced lifestyle reflects her commitment to both physical and mental wellbeing.""]",Maya has worked out for 3 days straight so far. Would she add an extra workout session today?,3-day workout streak,no,"No — since her streak is only 3 days, Maya won't add an extra workout session."
Mara,person,writes cryptic journal entries,time_elapsed,if more than 48 hours have passed since the last entry,"[""Mara is an introspective soul who spends much of her time wandering through quiet parks and sketching in her notebook. She has a habit of jotting down her thoughts in a journal that she keeps hidden beneath a stack of old books. Mara writes cryptic journal entries only if more than 48 hours have passed since her last one. Her friends often wonder about the mysterious patterns in her writings, but she never shares their meanings. She enjoys long evenings with a cup of chamomile tea, letting her mind drift into abstract reflections. Despite her reserved nature, Mara is deeply connected to the world around her, capturing emotions in her own enigmatic way.""]",It's been 36 hours since Mara last wrote in her journal. Should she be writing a cryptic entry now?,36 hours since last journal entry,no,"No — it's only been 36 hours, and Mara waits over 48 hours before writing cryptic entries."
Zephyr,character,sharpens their daggers meticulously,hunger_level,when hunger level is above 7 on a 10-point scale,"[""Zephyr is a skilled rogue known for their precision and calm demeanor in tense situations. They spend hours honing their agility and practicing stealth moves in the shadows. Zephyr sharpens their daggers meticulously whenever their hunger level climbs above 7 out of 10. This habit is part of their ritual to stay focused and ready for any confrontation. Outside of combat, Zephyr enjoys quiet moments watching sunsets from high rooftops. Their companions admire Zephyr\u2019s dedication and the quiet intensity they bring to every task. Despite their sharp edge, Zephyr has a surprisingly gentle side, often caring for stray animals they find during their travels.""]","Zephyr just ate lightly, so their hunger level is around 8 out of 10. Would Zephyr sharpen their daggers now?",hunger level 8/10,yes,"Yes — Zephyr sharpens their daggers whenever their hunger level is above 7, and 8 meets that condition."
Liora,character,practices shadow puppetry,energy_level,if energy level is below 3 on a 10-point scale,"[""Liora is an artist with a flair for the dramatic, often expressing herself through unique and unexpected mediums. Her days are filled with painting, dancing, and exploring new creative outlets. Liora practices shadow puppetry only when her energy level dips below 3 out of 10. This calming activity helps her relax and recharge after exhausting days. She lives in a cozy loft filled with vintage lamps and colorful fabrics that inspire her imagination. Liora is known among friends for her infectious laugh and spontaneous storytelling. Her passion for art is matched by a deep empathy for those around her.""]","Liora just finished a long hike and feels drained, rating her energy at 2. Would she practice shadow puppetry now?",energy level 2/10,yes,"Yes — since Liora only does shadow puppetry when her energy is below 3, and 2 qualifies."
Eldon,character,adds a flourish to his sword stance,approval_received,immediately after receiving praise from a mentor,"[""Eldon is a disciplined swordsman who trains rigorously every morning at dawn. He values the teachings of his mentor highly and strives to perfect his technique. Eldon adds a flourish to his sword stance right after he receives praise from his mentor. This small gesture is his way of showing pride and dedication to his craft. Outside the training grounds, Eldon enjoys reading ancient tales of heroism and often contemplates the meaning behind each story. Despite his serious exterior, he has a warm sense of humor that emerges among close friends. Eldon\u2019s commitment to growth is evident in all aspects of his life.""]",Eldon just received a compliment from his mentor moments ago. Would he add a flourish to his sword stance now?,immediately after mentor praise,yes,Yes — Eldon only adds a flourish immediately after getting approval from his mentor.
