preference_category,preferences,preference_facts,question,ground_truth_answer
physical exercises,"[""yoga"", ""cycling""]","[""I find yoga helps me stay flexible and calm after a long day."", ""Cycling is my favorite way to combine cardio with exploring new places.""]",I'm planning my weekly workout schedule and want a good balance of activities. What should I include?,"yoga, cycling"
travel destinations,"[""Japan"", ""Italy"", ""New Zealand""]","[""Japan fascinates me with its blend of tradition and cutting-edge technology."", ""Italy's rich history and amazing food always draw me back."", ""New Zealand's stunning landscapes make it my dream spot for adventure trips.""]","I'm thinking about where to go for my next vacation that combines culture, food, and outdoor activities. Any ideas?","Japan, Italy, New Zealand"
comedy styles,"[""satire"", ""slapstick"", ""dark humor""]","[""Satire always grabs my attention because of how cleverly it points out societal issues."", ""I enjoy slapstick comedy because the physical gags never fail to make me laugh."", ""Dark humor appeals to me when it pushes boundaries in a thoughtful way.""]",I'm looking for some comedy shows to watch that can fit different moods. What should I pick?,"satire, slapstick, dark humor"
cuisines,"[""Mexican"", ""Thai""]","[""Mexican food excites me with its bold spices and fresh ingredients."", ""I like Thai cuisine for its balance of sweet, sour, and spicy flavors.""]",I'm planning a dinner party and want to serve dishes that reflect my favorite tastes. What should be on the menu?,"Mexican, Thai"
board games,"[""Catan"", ""Chess"", ""Ticket to Ride"", ""Pandemic"", ""Carcassonne""]","[""Catan is my go-to for a strategic game that mixes luck and planning."", ""Chess challenges me to think several moves ahead in a classic way."", ""Ticket to Ride is perfect when I want a fun, competitive game about building routes."", ""I like Pandemic because it requires teamwork to beat the game\u2019s challenges."", ""Carcassonne is great for when I want a casual yet tactical tile-laying game.""]",I'm hosting a game night and want to pick a variety of board games that everyone will enjoy. What should I choose?,"Catan, Chess, Ticket to Ride, Pandemic, Carcassonne"
hobbies,"[""painting"", ""gardening""]","[""Painting lets me express my creativity and relax after work."", ""Gardening gives me a great sense of accomplishment when I see plants thrive.""]",I want to pick up a hobby that can be both calming and fulfilling. What should I try?,"painting, gardening"
types of movies,"[""thrillers"", ""comedies"", ""documentaries""]","[""Thrillers keep me on the edge of my seat with their suspense and twists."", ""Comedies are my favorite when I just want to lighten the mood and laugh."", ""Documentaries appeal to me because I love learning about real stories and facts.""]",I’m choosing movies for a weekend marathon that should keep things interesting and varied. What genres should I include?,"thrillers, comedies, documentaries"
comedy styles,"[""improv"", ""stand-up""]","[""Improv comedy fascinates me with its spontaneous and unpredictable humor."", ""Stand-up routines are my favorite for clever jokes delivered directly by comedians.""]",I’m picking a comedy show to attend that will really entertain me. What style should I look for?,"improv, stand-up"
sleep habits,"[""napping"", ""early bedtime"", ""sleeping with white noise""]","[""Napping during the day helps me recharge and stay productive."", ""I prefer going to bed early because it makes waking up easier and more refreshing."", ""Sleeping with white noise helps me drown out distractions and get better rest.""]",I want to improve my overall sleep quality with some new habits. What should I focus on?,"napping, early bedtime, sleeping with white noise"
self-care activities,"[""meditation"", ""journaling"", ""taking baths"", ""reading"", ""going for walks""]","[""Meditation helps me clear my mind and reduce stress daily."", ""Journaling is my way to process thoughts and track progress over time."", ""Taking baths allows me to unwind and soothe my muscles after a long day."", ""Reading immerses me in new worlds and ideas, which I find incredibly relaxing."", ""Going for walks gives me fresh air and a chance to reflect quietly.""]",I'm setting up a self-care routine that helps me relax and recharge. What activities should I include?,"meditation, journaling, taking baths, reading, going for walks"
