example_id,question_type,domain,support_set_size,question,correct_answer,model_answer,answer_correct,retrieval_status,failure_mode,distractor_contamination
memdaily-conditional-roles-0,conditional,roles,2,那个只有高中学历的人，他们现在是在哪儿上班来着？,广东深圳,那个只有高中学历的人是你的老板，他现在在广东深圳上班。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-1,conditional,roles,2,那个来自重庆的人叫什么名字啊？,赵雅琳,那个来自重庆的人叫赵亚林。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-2,conditional,roles,2,那个61岁的人是在哪里工作的呢？,广东广州,那个61岁的人是用户的叔叔，他在广州工作，具体单位是广州天河公安分局。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-3,conditional,roles,2,那个45岁的家伙叫什么名字来着？,王思琪,那个45岁的家伙叫李强。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-4,conditional,roles,2,那个只上了专科的家伙，他老家是哪儿的啊？,广东深圳,那个只上了专科的家伙是王婷婷，她老家在广东省深圳市。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-5,conditional,roles,2,那谁是销售经理啊，他们职业是什么呢？,销售人员,销售经理是你的表哥，他的职业是销售经理。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-roles-6,conditional,roles,2,那个山西太原的家乡人，他们生日是啥时候啊？,09月13日,那个山西太原的家乡人的生日是9月13日。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-7,conditional,roles,2,那个教育背景是硕士的人有多高啊？,173cm,教育背景是硕士的人是用户的下属，他的身高是173厘米。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-8,conditional,roles,2,那个6月8日过生日的人，他们是做什么职位的来着？,总裁,那个6月8日过生日的人是用户的上司，职位是设计师。,False,partial_chain_retrieved,distractor_contamination,True
memdaily-conditional-roles-9,conditional,roles,2,那个邮箱地址是zhangjingyi0825@gzfinance.com的人，身高是多少呢？,162cm,那个邮箱地址zhangjingyi0825@gzfinance.com是用户母亲的邮箱地址，用户母亲的身高是162厘米。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-10,conditional,roles,2,那个30岁的人是做什么职位的来着？,建筑工人助理,那个30岁的人是建筑工人的助理。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-11,conditional,roles,2,那个邮箱地址是chenxuemei0626@shsunnyacademy.com的人，是在哪里工作的呢？,上海,邮箱地址chenxuemei0626@shsunnyacademy.com对应的人是在上海阳光学院中学工作的。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-12,conditional,roles,2,深圳天使护理院的那个人平时都喜欢干点啥呀？,登山,深圳天使护理院的那个人，应该是你的母亲，她平时特别喜欢爬山。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-13,conditional,roles,2,那个当护士长的人有多高啊？,166cm,那个当护士长的人是166厘米高。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-14,conditional,roles,2,那个50岁的人是哪里人啊？,江苏苏州,那个50岁的人是你的叔叔，他的家在江苏苏州。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-15,conditional,roles,2,那个在浙江杭州工作的人生日是什么时候呢？,06月21日,在浙江杭州工作的人是用户的老板，他的生日是6月21日。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-16,conditional,roles,2,那个8月28日过生日的人是干什么的啊？,农民,那个8月28日过生日的人是你的姑姑，但她的职业信息在提供的记忆中没有提到。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-roles-17,conditional,roles,2,那个邮箱地址是chenmenting0828@beijingnongye.com的人，他是做什么职位的呀？,农民合作社社长,chenmenting0828@beijingnongye.com 是用户阿姨的邮箱地址，她是一个农民合作社的会长。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-18,conditional,roles,2,那个担任首席技术官的职位的人，他们生日是啥时候呀？,07月11日,担任首席技术官的那个人是您的姨妈（姨妈的丈夫家属），她的生日是7月11日。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-19,conditional,roles,2,那个当警察的人叫什么名字来着？,赵宇轩,答案中没有提到当警察的人的名字。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-roles-20,conditional,roles,2,那个在山东青岛工作的人的电话号码能告诉我一下吗？,13664273363,那个在山东青岛工作的人的电话号码是13664273363。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-21,conditional,roles,2,赵志宇的老家是哪儿的？,江苏南京,赵志宇的老家是南京，江苏。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-22,conditional,roles,2,那个41岁的人叫什么名字呀？,赵晓琳,那个41岁的人叫赵小林。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-23,conditional,roles,2,那个年龄到了60岁的，他是做什么工作的呢？,厨师,根据提供的记忆，用户60岁的亲戚（叔叔）工作地点在上海，但没有具体说明他具体从事什么工作。,False,not_retrieved,not_retrieved,False
memdaily-conditional-roles-24,conditional,roles,2,那个当厨师长的人，他是哪里的人呢？,山东济南,答案中没有提到厨师长的具体籍贯信息，无法确定他是哪里的人。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-25,conditional,roles,2,那个来自山西太原的人的生日是啥时候呀？,10月13日,那个来自山西太原的人的生日是10月13日。,True,full_chain_retrieved,correct_answer,False
