original_fact,essay
I moved from Tucson to Portland in October 2021 with two suitcases and a rescued gray tabby named Miso.,"By the time I left Tucson in October 2021, my life had been reduced to two suitcases, a laptop bag, and a gray tabby named Miso who had already decided he was in charge of the move. I remember standing in the Salt Lake parking lot outside my apartment on East Grant Road, waiting for the rideshare that would take me to the airport, and feeling the strange lightness of someone who has packed away not just clothes but an entire season of life. Tucson had been all dust, sun-bleached stucco, and evenings so warm that the sidewalks held heat long after sunset. Portland, by contrast, was a place I knew mostly through photos of wet streets, moss, and coffee shops with fogged windows. That was part of the appeal.

Miso came into my life the previous spring, a rescued gray tabby with a white chin and one torn ear tip, adopted from a foster family near Reid Park. He had the habit of chirping at birds through the apartment window and then, when I was working late, settling directly on my keyboard as if to remind me that spreadsheets were less important than dinner. He hated the carrier at first, but on the flight he curled into a tight, indignant loaf and slept through most of the trip, waking only when the plane dipped over the Cascades. I took that as a good omen.

I landed in Portland on a cold, drizzly afternoon and moved into a small apartment in Southeast, not far from Division Street. The first week, I walked the neighborhood in a raincoat that still smelled faintly of Tucson dust, learning the difference between a neighborhood coffee shop and a place where people actually knew your name. I found one on Clinton Street where the barista, a woman named Lena with silver rings on every finger, started spelling Miso’s name correctly after the third visit. On Sundays I bought oat milk, eggs, and a loaf of sourdough from the farmers market at Ladd’s Addition, then spent the rest of the day unpacking one drawer at a time while Miso supervised from the windowsill.

I developed a routine almost immediately. Mornings began with black coffee, a quick check of the weather, and ten minutes of coaxing Miso away from the radiator so I could make the bed. Evenings meant long walks along the Eastbank Esplanade when it wasn’t raining too hard, or, on the truly gray days, soup from a little Vietnamese place near Powell whose pho broth seemed to cure whatever homesickness I hadn’t admitted to feeling. Portland never became Tucson, and I never expected it to. But in that first autumn, with Miso purring against my ankle and rain tapping the window, it began to feel like a place where a new life could actually take root."
I still text my older sister Lena every Sunday night at 8:15 p.m. because that was the only time we could reliably talk when she was in med school.,"Every Sunday night at 8:15 p.m., my phone buzzes with the same kind of message I’ve sent for years: a short, reliable check-in to my older sister Lena. “Still alive?” I’ll text, or “Did the hospital eat you this week?” It started when she was in med school at Northwestern, buried under anatomy lab, overnight shifts, and the kind of exhaustion that makes even a five-minute phone call feel impossible. Back then, 8:15 was the only time we could count on. She’d usually be walking home from the library in Chicago, her tote bag sliding off one shoulder, and I’d be sitting at the little oak kitchen table in our apartment in St. Paul, pretending I wasn’t waiting for the phone to light up. Now she’s a family doctor in Madison, and the ritual has outlived the chaos that created it.

Lena has always been the organized one. In med school, she color-coded everything in a spiral notebook with tabbed dividers and tiny handwritten notes in blue ink. I remember visiting her one March weekend in 2014 and finding her kitchen counter covered with flashcards, a half-eaten bagel, and three different highlighters lined up like surgical tools. She was so tired she laughed at nothing, but when 8:15 came, she sat on the fire escape outside her apartment on West Polk Street and answered my text with a paragraph about a patient with pneumonia and a joke about the cafeteria’s rubbery eggs. That was Lena: even when she was drowning, she made space for a joke.

Our Sunday texts are still oddly specific. She sends me a photo of whatever tea she’s drinking—usually Earl Grey if she’s been at the clinic all day, chamomile if she’s trying to sleep—and I send her updates about my week, usually involving my rescue mutt, Jasper, who hates rain and refuses to walk past the fire hydrant on the corner of Birch and 9th after dark. Lena always asks about Jasper by name, as if he’s a nephew she’s never met enough. If I mention I’m making her lemon bars, she’ll remind me to use the real butter and not the margarine our mom used in the 90s. If she’s on call, she texts from the break room at Mercy Hospital with her shoes off and her hair clipped up, one sock sliding down because she’s been standing for twelve hours straight.

What I love most is that the time never changed. Not when she moved from Chicago to Madison, not when I got a job teaching third grade, not when she got married to Daniel in October 2021 and started sending me photos of their tiny backyard garden. Eight-fifteen is our anchor. It’s a small thing, but it holds a lot: the years she spent becoming a doctor, the miles between us, and the simple fact that some relationships survive because someone keeps showing up at the same time, week after week, with a phone in hand and love that fits inside a text box."
"I keep a worn notebook from my 2019 trip to Kyoto, and I still copy down restaurant names in it whenever I find a place I want to remember.","The notebook lives in the top drawer of my desk, under a stack of train timetables and old museum tickets, its corners softened by humidity and use. I bought it in Kyoto in the spring of 2019, at a stationery shop near Sanjo Ohashi, because the cover was a deep indigo that reminded me of night rain on the Kamo River. By the time I flew home, the pages had already filled with temple names, subway stops, and the names of restaurants I was afraid I would forget. I’ve kept it ever since, and I still add to it whenever I find a place worth remembering.

I started the habit on that trip out of necessity. Kyoto had a way of making every meal feel like a small discovery, and I didn’t trust my phone notes to hold onto the details I cared about. At a tiny soba shop in Arashiyama, where the owner served chilled noodles with grated daikon and a whisper of yuzu, I wrote down the name in pencil while waiting for the bill. Later that week, after dinner at a counter seat in Gion where the chef brushed soy glaze over skewers of eggplant and chicken skin, I copied the restaurant name again in darker ink, underlining it twice. The notebook became a kind of map of taste: places I liked, dishes I wanted to order again, even the little sensory details that made them memorable.

Now I carry a slimmer version of that same ritual into my everyday life. If I find a ramen shop with broth rich enough to stain the spoon amber, or a neighborhood trattoria with a window crowded by basil plants, I jot the name down immediately, usually on the train home or while standing outside the door. My friend Mina teases me for being “the only person who reviews dinner in handwriting,” but she’s the one who often asks to borrow the notebook when we’re trying to choose where to go. On rainy Fridays, we’ll sit by the window at my apartment, flip through the pages, and argue over whether a place deserves a star next to it or just a note in the margin.

The notebook is worn now, its spine cracked and the first page stained with a faint ring from a coffee cup I set on it in Kyoto. But that only makes it feel more faithful. It holds not just restaurant names, but the shape of my attention: what I noticed, what I loved, what I wanted to keep close. Whenever I open it, I can still smell the cedar shelves of that stationery shop, hear the clatter of dishes in a narrow alley restaurant, and remember the simple pleasure of deciding that a meal was worth saving."
"I am most comfortable working after 10:00 p.m., and I do my best writing at the kitchen table with a single lamp on and no music.","By the time the apartment house on Wickham Street goes quiet, Mara Ellison is just getting started. She has learned, over years of trial and error, that her mind does not open up until after 10:00 p.m., when the last bus has already sighed past the corner and the radiators begin their steady, private ticking. In the evenings, she moves through her small third-floor apartment in Astoria with the deliberate calm of someone entering a room she knows by heart. She rinses her mug, turns off the overhead lights, and carries her notebook to the kitchen table, where a single brass lamp throws a warm circle across the wood grain. No music ever plays. Even the softest piano or the hum of a radio feels like someone else’s thoughts pressing at the edges of her own.

Mara works as a copy editor for a nonprofit publisher in Midtown, but her best writing happens after her shift ends and the city has loosened its grip. She gets home around 8:15, usually with a paper bag from the deli on 31st Avenue and a tired smile for her neighbor Mrs. Ibarra, who always asks if she has eaten enough. After dinner, Mara washes the dishes immediately. She says the clean sink helps her think. Then she changes into an old Rutgers sweatshirt, ties her dark hair into a knot, and waits. By 10:07 or 10:12, she feels the familiar shift: the day’s noise falls away, and the sentences she has been carrying all afternoon finally line up in her head.

On Tuesdays and Thursdays, she writes essays and short pieces for a literary magazine in Brooklyn, and on Sundays she revises a memoir about her mother’s bakery in Newark, where she spent childhood summers learning the names of pastries in both English and Portuguese. Her mother, Helena, still calls every Friday night to ask whether Mara is sleeping enough, which makes Mara laugh because Helena also knows she never is. The truth is that Mara keeps the late hours partly because the world feels less demanding then. No one is texting for immediate answers, no delivery trucks are backing up outside, and even the refrigerator’s low rumble seems to bless the silence.

The kitchen table is scarred from years of use, with a pale ring from a candle she knocked over in 2019 and a nick near the left edge from when her younger brother, Daniel, once opened a bottle too quickly during Thanksgiving prep. Mara likes those marks. They make the table feel honest, the way she wants her writing to feel honest. She keeps a legal pad, two sharpened pencils, and a chipped blue mug there every night. Around midnight, when the first draft is going well, she leans closer to the lamp, her face lit in gold, and writes with the steady concentration of someone who has found the one place and hour in which she can hear herself think."
"I cannot stand cilantro, but I love spicy food so much that I always ask for extra chili oil instead.","On Friday nights, after the last email has been sent and the office on Mercer Street has gone quiet, Lena Ortiz usually ends up at the same little Sichuan place two blocks from her apartment in Astoria. The owner, Mr. Han, knows her by name now, and so does the woman at the counter who always smiles when Lena walks in and says, “Extra chili oil?” Lena always nods before she has even taken off her scarf. She has been ordering that way since the winter of 2019, when a brutal cold snap kept her in New York long enough to discover that numbing heat, the kind that makes your lips tingle and your forehead shine, was exactly what she wanted after a week of spreadsheets and conference calls.

Cilantro, though, is another story. The first time she tasted it was at a food truck outside Union Square in June 2012, when she was a graduate student at Hunter College and thought she had ordered the perfect chicken taco. One bite in, she stopped mid-chew, convinced something had gone wrong in the kitchen. The bright, soapy taste of cilantro hit her so hard that she spent the rest of the afternoon scraping leaves off the tortilla with the edge of a napkin. Since then, she has become almost surgical about it. At home, she keeps a small pair of tweezers in the kitchen drawer—not for garnish, but for rescue. If a salad arrives speckled with green, she’ll sit at the table under the yellow lamp and pick every leaf out before she takes the first bite.

Her friends have learned to warn restaurants on her behalf. Her cousin Mateo once told a waiter at a birthday dinner in Jackson Heights, “No cilantro, please, she’s serious about it,” in the same tone people use for allergies, and Lena pretended not to be amused even as she was grateful. At family gatherings, her mother, Elena, will set aside a small bowl of salsa verde made without cilantro, just for her, and still tease her about being “the one who likes fire but hates herbs.” Lena accepts the joke because it is true. She will happily eat mapo tofu until her eyes water, pile chili crisp onto dumplings, and ask for the spiciest broth on the menu, but if a chef sprinkles cilantro over the top, she loses all interest.

Her apartment kitchen reflects this contradiction. There are three jars of chili oil in the pantry—one from a Chinatown market, one from a trip to San Francisco, and one handmade by her friend Priya, who adds toasted garlic and dried shrimp. Next to them sits a pot of basil on the windowsill, carefully watered, because Lena has decided that if she can’t trust cilantro, she can at least grow something green that tastes like sweetness instead of soap. It is a small domestic peace, built around a simple rule: make everything hotter, but leave the cilantro out."
"I learned to bake sourdough during the winter of 2020, and my starter is still alive, named “Edith,” and fed every Friday morning.","By the time the winter of 2020 settled over the city, the apartment on the third floor of a brick walk-up on Hawthorne Street had become a place of small, repeatable rituals. The pandemic had emptied the calendar, and in that quiet, I found myself measuring time in flour, water, and the slow, stubborn rise of dough. I learned to bake sourdough that winter, first from a neighbor’s photocopied instructions and then from my own mistakes: loaves that spread too wide, crusts that darkened too quickly, crumb so dense it could have been mistaken for pound cake. But the starter survived everything. I named it Edith, partly because the name sounded like someone who would endure, and partly because it made the jar on the counter feel less like a science experiment and more like a companion.

Edith lived in a wide-mouth Mason jar beside the kettle, under a faded blue tea towel. Every Friday morning, before my first cup of coffee, I would discard half, stir in fresh flour and warm water, and watch the bubbles begin to gather along the glass. It became a point of orientation in a year that otherwise seemed to have none. Even now, the routine holds. I feed Edith at 7:15 a.m. on Fridays, usually while the apartment is still gray with early light and the radiator knocks softly in the wall. If I’m working from home, I set a reminder on my phone titled “Edith’s breakfast,” though by now I hardly need it. My partner, Daniel, knows not to interrupt until the feeding is done; he says the starter has a more reliable schedule than either of us.

The first successful loaf came out in February 2021, baked in a cast-iron Dutch oven that had belonged to my mother. I remember the crackle of the crust as it cooled on a wire rack and the sharp, tangy smell that filled the kitchen. I carried slices to my downstairs neighbor, Mrs. Alvarez, who lived alone and always returned Tupperware with a few clementines tucked inside. She declared the bread “the kind you pay too much for at the farmers’ market,” which I took as the highest compliment. Since then, sourdough has become my way of marking seasons: rosemary in spring, olives in late summer, walnuts and honey when the weather turns cold again.

Friends now ask for loaves on birthdays, and I bring them wrapped in linen tea towels to dinner at places like Lucia’s apartment in Astoria or my sister Nora’s house in Jersey City. But Edith remains the center of it all, a living thread from that strange winter to the one I’m in now. She is not merely kept alive; she is tended, in the same way a habit becomes a practice and a practice becomes a form of care. Every Friday morning, flour dust on my wrists and sunlight on the counter, I feed her and feel the day begin."
"I met my closest friend, Marcus, at a rain-soaked jazz show in New Orleans in 2017, and we have taken a photo together in every city we have visited since.","I still think of that night in New Orleans as the beginning of a second life. It was October 2017, and the city had been washed clean by an afternoon storm that left the sidewalks shining under the streetlamps on Frenchmen Street. I had ducked into a narrow club called the Spotted Cat to escape the rain, carrying a paper map that had already softened at the edges. Marcus was there too, standing near the bar with a damp navy jacket over one shoulder, listening so intently to the trumpet player that he seemed to forget the rest of the room existed. When the band took a break, he asked if I knew the name of the tune. I didn’t, but I told him I liked the drummer’s brushwork and he laughed, which was how we discovered we both had the same habit of talking about music as if it were weather.

By the end of the set, we were sitting at a tiny table by the window, sharing a plate of hot beignets from a café down the block and arguing about whether Preservation Hall or the Maple Leaf had the better sound. We spent the next two days together almost by accident, wandering through the Marigny, drinking chicory coffee at Piety and Desire, and getting caught in another storm near Jackson Square. I remember that Marcus kept a folded city guide in his back pocket and I kept taking photos of old iron balconies, but neither of us was really looking at the sights so much as testing whether we could make each other laugh. We could.

Since then, we have taken a photo together in every city we have visited. It started in New Orleans with a blurry shot outside Cafe Du Monde, both of us squinting in the morning sun, and became a ritual. In Chicago, we stood under the “L” tracks in February, our scarves whipping in the wind. In Santa Fe, we posed in front of a turquoise mural after a long day at the Georgia O’Keeffe Museum. In Montreal, we took our picture outside a bookstore on Rue Saint-Denis, cheeks pink from the cold. Marcus always insists on using the same phrase before the shutter clicks: “Proof of arrival.” I like that better than souvenir. It feels like a promise.

We have our routines now. I bring the camera; Marcus brings the snacks, usually pistachios or those black licorice candies he claims are “an acquired taste.” He prefers early trains, window seats, and hotel rooms with small desks. I like late dinners, neighborhood bars, and places with a record player in the corner. Somehow we make room for each other’s habits. Every trip ends with us sorting through the photos at whatever diner, hostel, or airport lounge we can find, choosing the one image that best captures the city and the day we became part of each other’s lives. In every picture, no matter the weather or the distance between them, there is the same unmistakable thing: two people who were strangers in the rain and have been finding their way together ever since."
I get unusually emotional at train stations because my grandfather used to meet me there in Chicago when I was a child.,"I have always thought that Chicago’s train stations hold a kind of weather all their own: the metallic smell of brakes, the draft that slips in every time a door opens, the low rumble that seems to come up through the floor before a train even arrives. For most people, Union Station or Ogilvie is just a place to pass through, but for me it has always been a place where memory stands still. I get unusually emotional there because my grandfather used to meet me at the station when I was a child, and even now, years later, I can feel that old anticipation rising the moment I step onto the platform.

My grandfather, Ramón Delgado, was the sort of man who arrived early everywhere and dressed as if he were going to church even on an ordinary Tuesday. He wore pressed khakis, a navy wool cap in winter, and a tan trench coat that smelled faintly of cigar smoke and peppermint. When my family lived on the South Side in Hyde Park, he would take the Metra downtown from his apartment near 35th Street, stand by the big departure board, and wait for me with a paper bag of warm churros from a bakery on Halsted or, if it was summer, a cold bottle of Jarritos tucked into his coat pocket. He never asked me how school was until after he had knelt down to check whether I had grown taller since the last visit.

Those afternoons had a ritual to them. He would take my hand, call me “mija” even though I was his grandson, and lead me through the station to the little diner by the windows where he always ordered black coffee and I got hot chocolate with too much whipped cream. We would sit for exactly one hour, no matter what, and he would tell me stories about arriving in Chicago from Ponce in 1968, about his first winter, about the time he got lost trying to find a job near the river and ended up walking all the way to the Loop. He had a way of making the city feel like a living map, full of hidden doors and secret histories.

After he died in 2011, I stopped taking the train for a while. When I finally returned, I was startled by how quickly the old feeling came back: the echo of footsteps on tile, the announcements crackling overhead, the sight of someone scanning the crowd as if looking for a face they loved. I still pause near the entrance and let myself remember him. Sometimes my wife, Elena, squeezes my arm and says nothing, because she knows that if I look too long at the tracks I will think of his hand on my shoulder, steering me toward home."
"I collect postcards from bookstores, and the one I treasure most is from Shakespeare and Company in Paris, signed by my cousin Ava in 2022.","Every shelf in Mara Ellison’s apartment in Cambridge seemed to hold some evidence of a journey, but the one she guarded most carefully was a narrow accordion file tucked beside her desk, filled with postcards from bookstores. She started the collection in college, when she discovered that a bookstore postcard could preserve not just an image of a place but the mood of an afternoon: the grain of old wood, the smell of paper dust, the particular quiet of people reading in public. Over the years, she began buying them wherever she traveled, slipping them into envelopes addressed to herself or asking the clerk to stamp the date on the back. She liked the discipline of it, the way a small card could outlast a whole trip.

Her favorite came from Shakespeare and Company in Paris, where she spent three rainy days in October 2022 with her cousin Ava. Mara still remembers the narrow staircase, the slanted shelves, and the way the shop seemed to lean into the Seine light, all cream-colored walls and crowded spines. Ava, who had just finished a year of graduate work in Lyon, met Mara there with wet hair, a red scarf, and the kind of practical joy she always brought to cities. They spent an afternoon wandering the Left Bank, ducking into cafés to warm up and returning to the bookstore twice, once for a paperback of Woolf and once for a postcard Mara insisted on buying even though she had already bought three others that day.

Ava signed the card in a looping hand on the back in black ink: “For Mara, who always finds the quietest beautiful places. Paris, 2022.” Mara keeps it in a frame on her desk, not because it is the rarest, but because it carries the most complete version of herself: bookish, sentimental, and happiest when a place feels both old and alive. On winter mornings, before she logs in to her work as a copy editor, she makes tea in a blue enamel kettle and flips through the postcards one by one. She has a habit of reading the handwritten notes aloud, as if the voices of friends and cousins might reenter the room if she gives them enough air.

Her sister jokes that Mara collects “paper souvenirs,” but Mara knows the cards are really a map of her loyalties. There is one from City Lights in San Francisco, one from Powell’s with a coffee stain on the corner, and a newer one from a tiny shop in Dublin whose name she can barely pronounce. Still, the Shakespeare and Company postcard remains the center of the pile, the one she reaches for when she needs to remember that beauty can be found in narrow staircases, in rainy afternoons, and in the handwriting of someone who knows you well."
"I believe small routines matter more than big resolutions, which is why I always start each January by swimming at the same neighborhood pool at 6:30 a.m.","Every January, before the city has properly woken and while the sidewalks still hold the silver edge of frost, I drive to Maplewood Community Pool with a thermos of black coffee rattling in the passenger seat and a towel folded twice over in the back. The pool opens at 6:30 a.m., and I’ve been there so many years in a row that the lifeguard on duty usually just lifts a hand when he sees my hatchback pull into the lot. His name is Darren, and he always jokes that I am the only person in town who treats the New Year like a standing appointment instead of a promise.

I like it that way. Big resolutions have always felt theatrical to me, too dependent on mood and too fragile under the weight of a bad day. Small routines, by contrast, are sturdy. They don’t require reinvention. They only ask that you show up. That’s why, on the first morning of every January, I swim laps in the same lane near the shallow end, under the flickering fluorescent lights and beside the window where the condensation gathers in cloudy seams. The water is colder than I remember until the first turn, and then my shoulders loosen and the world narrows to the rhythm of breath, pull, kick, turn.

I usually count fifty laps, though I stopped pretending I do it for fitness alone. It is more a private ceremony than exercise. I wear the same navy suit from Speedo, the one with the faded seam on the left hip, and I always sit for a moment afterward on the bench in the locker room, wrapped in my towel, listening to the hiss of the dryers and the clatter of lockers. By then the regulars begin to arrive: Mrs. Alvarez with her bright orange swim cap, the retired mail carrier who does water aerobics in the lane next to mine, the teenage brothers who cannonball before sunrise on school breaks. Their ordinary presence makes the morning feel anchored, as if the year can only begin once all these familiar bodies have entered the water.

My sister, Lena, teases me for my ritual and says I’m superstitious about chlorine. Maybe I am. But I have seen enough Januaries to know that the smallest repeatable act can steady a person more reliably than a grand declaration ever will. In 2022, after my father died in late December, I still went to the pool on New Year’s morning. I barely swam at all that day. I just floated on my back for a minute, staring at the ceiling tiles while the water moved gently under me, and then I went home and made eggs. That was enough to mark the day.

The pool, the hour, the cold air on my face as I walk back to the car—these are the pieces I trust. They don’t promise transformation. They promise continuity, which, to me, is a quieter and more useful kind of hope."
