question_conv_id,question_type,error_type,question,analysis_reasoning
19356c72-89a8-4b9a-ace2-af71ace7e28d,base_question,analysis_failed,How does he usually like to spend time with someone he cares about?,
1a2c1902-41ea-4775-8362-a18edc14ccd9,base_question,analysis_failed,What kind of routine does he prefer when he wants to start the year off right?,
42d170b4-eedc-4a03-b5a8-f745073ce491,base_question,analysis_failed,What kind of food does she usually enjoy when she wants something comforting or bold?,
0a7482d3-975e-40bc-938e-afc125c9c902,base_question,analysis_failed,What kind of gift would be meaningful for me to give Maya?,
3da36884-8346-4fd1-9006-aabfaa72351d,base_question,analysis_failed,What should I know about his family background or where he comes from?,
12afc39f-63ab-4c13-b7e1-3bd10e157353,base_question,analysis_failed,When is the best time to talk with him about something important?,
2209f1ef-105d-4b17-827b-1ee967d39228,base_question,analysis_failed,What kind of work does he do?,
5768edc5-de1e-438b-bcd4-0e37606fbc29,misleading_question,analysis_failed,What kind of places or settings tend to bring out strong memories for Ava Thompson?,
364d4ba8-f6ee-4176-a0f1-239bf0235e87,base_question,analysis_failed,What small kitchen habits or preferences should I keep in mind if I want to make her feel at home?,
f8325355-130c-4bb6-87d3-1c50247530e6,misleading_question,analysis_failed,What details should I keep in mind if I want to make Ava Thompson's writing space feel comfortable?,
b3f278f5-ea7d-4208-8113-20519d124b69,base_question,analysis_failed,How should I plan a day out with this person so it fits their preferences?,
7862fbc5-23a7-44bb-8c2b-878cd48a0c35,base_question,analysis_failed,What details should I keep in mind if I want to make his writing space feel comfortable?,
c70ac78c-7824-47ba-aed9-57a55eaba2dd,base_question,analysis_failed,What kind of keepsake or tradition could I suggest to this person to mark our travels together?,
fb4572ac-6b2b-4fef-8281-f1d8539fde59,base_question,analysis_failed,What kind of hobby or routine does he seem to care about most?,
de446640-5d6a-4f39-8c6f-790440617f1e,base_question,analysis_failed,How does this person usually like to spend a typical morning or evening?,
47736fef-c70a-4c48-8dfe-36e60469412e,base_question,analysis_failed,What kind of places or settings tend to bring out strong memories for him?,
c7549699-c4ad-48ab-89e5-c504720001b7,base_question,analysis_failed,How does he usually cope with difficult or emotional moments?,
fe748854-b46e-40c4-b325-a35f41f8d0fb,base_question,analysis_failed,What would be a thoughtful gift or gesture for him?,
