id,hop_count,fact_1,fact_2,fact_3,fact_4,chain_1,chain_2,chain_3,chain_4,chain_5,graded_question,ground_truth_answer,choice_a,choice_b,choice_c,choice_d,choice_e,correct_choice
longhop-1hop-001,1,Early yoga gives me a calm mind.,A calm mind leads me to finish journaling.,,,early yoga,calm mind,finish journaling,,,"When I do early yoga, what do I end up doing?

Options:
A. check email
B. fold laundry
C. finish journaling
D. water the plants
E. take out the trash",finish journaling,check email,fold laundry,finish journaling,water the plants,take out the trash,C
longhop-1hop-002,1,Black coffee gives me jitters.,Jitters make me cancel meetings.,,,black coffee,jitters,cancel meetings,,,"After I drink black coffee, what do I end up doing?

Options:
A. buy groceries
B. cook dinner
C. water plants
D. fold laundry
E. cancel meetings",cancel meetings,buy groceries,cook dinner,water plants,fold laundry,cancel meetings,E
longhop-1hop-003,1,Morning meditation gives me a clear head.,A clear head helps me tackle email.,,,morning meditation,clear head,tackle email,,,"When I do morning meditation, what do I end up doing?

Options:
A. bake cookies
B. water plants
C. fold laundry
D. tackle email
E. shoot hoops",tackle email,bake cookies,water plants,fold laundry,tackle email,shoot hoops,D
longhop-1hop-004,1,I avoid noisy cafes because they trigger headaches.,Headaches push me to take a nap.,,,noisy cafes,headaches,take a nap,,,"If I'm around noisy cafes, what do I end up doing?

Options:
A. do the laundry
B. cook dinner
C. call a friend
D. organize my desk
E. take a nap",take a nap,do the laundry,cook dinner,call a friend,organize my desk,take a nap,E
longhop-1hop-005,1,Jonas loves morning biking.,Morning biking makes Jonas eat a big breakfast.,,,Jonas,morning biking,eat a big breakfast,,,"After Jonas does his favorite routine, what does he do?

Options:
A. call a close friend
B. eat a big breakfast
C. pay some bills
D. organize his bookshelf
E. water the houseplants",eat a big breakfast,call a close friend,eat a big breakfast,pay some bills,organize his bookshelf,water the houseplants,B
longhop-1hop-006,1,Writing poetry puts me in a peaceful mood.,A peaceful mood makes me call my mom.,,,writing poetry,peaceful mood,call my mom,,,"When I spend time writing poetry, what do I end up doing?

Options:
A. call my mom
B. wash the dishes
C. pay my bills
D. clean the bathroom
E. water the plants",call my mom,call my mom,wash the dishes,pay my bills,clean the bathroom,water the plants,A
longhop-1hop-007,1,Mei craves spicy ramen.,Spicy ramen makes Mei sweat.,,,Mei,spicy ramen,sweat,,,"What reaction follows Mei's craved dish?

Options:
A. itch
B. blink
C. shiver
D. yawn
E. sweat",sweat,itch,blink,shiver,yawn,sweat,E
longhop-1hop-008,1,Late-night snacking gives me restless sleep.,Restless sleep makes me oversleep.,,,late-night snacking,restless sleep,oversleep,,,"After late-night snacking, what happens to me in the morning?

Options:
A. oversleep
B. commute
C. shower
D. meditate
E. exercise",oversleep,oversleep,commute,shower,meditate,exercise,A
longhop-1hop-009,1,Omar prefers ambient music.,Ambient music helps Omar finish chores.,,,Omar,ambient music,finish chores,,,"What does Omar ultimately do thanks to his preferred genre?

Options:
A. read novels
B. finish chores
C. solve puzzles
D. play tennis
E. bake cookies",finish chores,read novels,finish chores,solve puzzles,play tennis,bake cookies,B
longhop-1hop-010,1,Cold showers give me alertness.,Alertness pushes me to start coding.,,,cold showers,alertness,start coding,,,"After I take cold showers, what do I start doing?

Options:
A. start coding
B. start painting
C. start knitting
D. start gardening
E. start baking",start coding,start coding,start painting,start knitting,start gardening,start baking,A
longhop-1hop-011,1,Sofia enjoys solo travel.,Solo travel motivates Sofia to journal nightly.,,,Sofia,solo travel,journal nightly,,,"What habit comes from Sofia's enjoyment?

Options:
A. garden weekly
B. floss daily
C. journal nightly
D. meditate regularly
E. stretch daily",journal nightly,garden weekly,floss daily,journal nightly,meditate regularly,stretch daily,C
longhop-1hop-012,1,Playing with my niece gives me a joyful mood.,A joyful mood inspires me to bake cookies.,,,playing with my niece,joyful mood,bake cookies,,,"When I'm playing with my niece, what do I end up doing?

Options:
A. fold laundry
B. water the plants
C. bake cookies
D. organize my desk
E. pay bills",bake cookies,fold laundry,water the plants,bake cookies,organize my desk,pay bills,C
longhop-1hop-013,1,Ben favors strong coffee.,Strong coffee makes Ben talkative.,,,Ben,strong coffee,talkative,,,"What state does Ben reach because of his favored drink?

Options:
A. romantic
B. nostalgic
C. contemplative
D. talkative
E. indifferent",talkative,romantic,nostalgic,contemplative,talkative,indifferent,D
longhop-1hop-014,1,Weekday fasting gives me clarity.,Clarity encourages me to write affirmations.,,,weekday fasting,clarity,write affirmations,,,"After I practice weekday fasting, what do I do next?

Options:
A. call friends
B. fold laundry
C. write affirmations
D. water plants
E. pay bills",write affirmations,call friends,fold laundry,write affirmations,water plants,pay bills,C
