example_id,question_type,domain,support_set_size,question,correct_answer,model_answer,answer_correct,retrieval_status,failure_mode,distractor_contamination
memdaily-conditional-roles-0,conditional,roles,2,那个只有高中学历的人，他们现在是在哪儿上班来着？,广东深圳,那个只有高中学历的人是在广东深圳上班的。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-1,conditional,roles,2,那个来自重庆的人叫什么名字啊？,赵雅琳,答案是赵雅琳。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-2,conditional,roles,2,那个61岁的人是在哪里工作的呢？,广东广州,那个61岁的人在广州工作。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-3,conditional,roles,2,那个45岁的家伙叫什么名字来着？,王思琪,那个45岁的家伙叫王思琪。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-4,conditional,roles,2,那个只上了专科的家伙，他老家是哪儿的啊？,广东深圳,那个只上了专科的家伙是下属，下属老家在广东。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-5,conditional,roles,2,那谁是销售经理啊，他们职业是什么呢？,销售人员,销售经理是你的表哥，他的职业是销售经理。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-roles-6,conditional,roles,2,那个山西太原的家乡人，他们生日是啥时候啊？,09月13日,那个山西太原的家乡人，即叔叔，生日是9月13号。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-7,conditional,roles,2,那个教育背景是硕士的人有多高啊？,173cm,硕士学历的是下属，下属身高是173厘米。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-8,conditional,roles,2,那个6月8日过生日的人，他们是做什么职位的来着？,总裁,那个6月8日过生日的人是上司，具体职位信息没有提供。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-roles-9,conditional,roles,2,那个邮箱地址是zhangjingyi0825@gzfinance.com的人，身高是多少呢？,162cm,那个邮箱地址是zhangjingyi0825@gzfinance.com的人是你妈妈，她的身高是162厘米。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-10,conditional,roles,2,那个30岁的人是做什么职位的来着？,建筑工人助理,那个30岁的人是建筑工人助理。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-11,conditional,roles,2,那个邮箱地址是chenxuemei0626@shsunnyacademy.com的人，是在哪里工作的呢？,上海,chenxuemei0626@shsunnyacademy.com这个邮箱地址的人在上海阳光学府中学工作。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-12,conditional,roles,2,深圳天使护理院的那个人平时都喜欢干点啥呀？,登山,深圳天使护理院的那个人平时特别喜欢登山。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-13,conditional,roles,2,那个当护士长的人有多高啊？,166cm,那个当护士长的人身高是166厘米。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-14,conditional,roles,2,那个50岁的人是哪里人啊？,江苏苏州,那个50岁的人是江苏苏州人。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-15,conditional,roles,2,那个在浙江杭州工作的人生日是什么时候呢？,06月21日,那个在浙江杭州工作的人生日是6月21日。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-16,conditional,roles,2,那个8月28日过生日的人是干什么的啊？,农民,那个8月28日过生日的人是婶婶，她的职业信息没有提供。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-17,conditional,roles,2,那个邮箱地址是chenmenting0828@beijingnongye.com的人，他是做什么职位的呀？,农民合作社社长,chenmenting0828@beijingnongye.com 是你婶婶的邮箱，她是农民合作社的社长。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-18,conditional,roles,2,那个担任首席技术官的职位的人，他们生日是啥时候呀？,07月11日,担任首席技术官的舅妈生日是7月11号。,True,full_chain_retrieved,correct_answer,False
