question_index,original_fact,question,classification
0,"I am a 34-year-old urban planner living in Milwaukee, Wisconsin, and I bike to work most days unless the roads are iced over.","If Milwaukee gets an icy snowfall overnight, what gear should I put on my bike and wear so I can still commute safely in the morning?",correct_answer
1,I keep a paper notebook for brainstorming because I think faster with a pen than with a keyboard.,"If I want to quickly find a specific handwritten idea from months ago, what’s the best way for me to store my notebook pages so they’re searchable later?",correct_answer
2,"I am an early riser who naturally wakes up around 5:45 a.m., even on weekends.","Would scheduling a 7:30 a.m. daily team standup work well for me, or would it interfere with my preferred early-morning walk and planning time?",incorrect_wrong_answer
3,I drink coffee only on weekdays and switch to loose-leaf oolong on Saturdays as a small ritual of rest.,"If you wanted to buy me a small gift that fits my Saturday tea ritual, what kind of item would I actually use while my oolong is steeping?",incorrect_wrong_answer
4,"I am mildly face-blind, so I rely on voices, gait, and clothing details to recognize people.","If I run into you at a conference and you greet me by name but I don’t immediately recognize your face, what’s the best quick detail you could mention so I can place where we met and what we talked about?",correct_answer
5,I speak conversational Spanish and practice by listening to Latin American radio while cooking.,"If I want to get better at using Spanish naturally in conversation, what’s a simple habit I can do after hearing a new phrase on the radio to make sure I actually use it when I talk with friends later?",correct_answer
6,I grew up in a small town in northern Michigan and still feel calmer when I can see a wide horizon.,"If I’m feeling stressed and cooped up this evening, what’s a good low-effort activity near Lake Michigan that will help me feel like I can breathe easier?",correct_answer
7,I moved to Milwaukee for graduate school and stayed because I fell in love with the lakefront and the neighborhood festivals.,"If you want to join me for a summer ride where we can grab food from weekend markets and festival stands by the lakefront, which trail in Milwaukee should you meet me on?",correct_answer
8,I live in a third-floor walk-up with tall windows and an unreasonable number of houseplants.,"If I’m rearranging furniture near my apartment windows, what’s one item I should make sure stays accessible so I can keep my plants evenly lit without accidentally blocking the fire escape?",correct_answer
9,"I name my plants after cartographers, and my favorite is a pothos called Mercator.","If I want to check whether you’ve already labeled the new pot I just repotted, what clue on the tag would tell me it’s the one for Gerardus Mercator?",correct_answer
10,I have a rescue dog named Juniper who is terrified of skateboard noises but adores toddlers.,"If a skateboarder goes by while Juniper is outside, what’s the quickest way I can get her back into the house without chasing her?",correct_answer
11,"I take Juniper to the same corner bakery every Sunday, and the staff keeps a biscuit behind the counter for her.","If I’m going to be out all day and might not be able to stop at the bakery, what should I pack so Juniper still has treats if the biscuits are sold out?",correct_answer
12,"I am close with my older sister, and we send each other voice notes instead of texting because we both hate typing on phones.","If I’m about to have a tense phone call, what’s a quick way my sister could tell from my next commute voice note that I’m stressed before I even say what happened?",correct_answer
13,"I am estranged from my father, and I have learned to hold that boundary without constantly re-litigating it.","If I’m feeling anxious about an upcoming family reunion where my personal choices usually get challenged, what’s a realistic way I could make the gathering feel less like I have to defend myself?",correct_answer
14,"I have a small circle of friends, and I prefer hosting four people for dinner over attending a party of forty.","If I’m hosting a small dinner party and one guest is gluten-free while another hates spicy food, what kind of menu and music setup would I likely plan to make everyone feel comfortable?",correct_answer
15,"I am in a long-term relationship with a high school art teacher, and we bond over museum dates and thrift-store frames.","If we want an inexpensive, relaxed date night this week that also supports emerging artists, what kind of local event should I suggest we go to?",correct_answer
16,"I keep my relationship healthy by scheduling a weekly ""no screens"" evening where we cook and talk without multitasking.","If we want to make our screen-free night more meaningful and less awkward, what simple activity could we do that helps everyone share something positive from the week?",correct_answer
17,I am the person my friends call when they need help writing a difficult email because I’m calm and precise with words.,"If I need to ask a client for a deadline extension without sounding unprofessional, what resource can I rely on to quickly craft a polished email and subject line?",incorrect_wrong_answer
18,"I can be stubborn about principles, but I will change my mind quickly when someone shows me good data.","When I hear a persuasive argument that contradicts something I currently believe, what’s the best way for me to decide whether to update my belief or keep it for now?",correct_answer
19,"I have a dry sense of humor and tend to deliver jokes with a straight face, which confuses new coworkers.","When I’m making a dry, deadpan joke to a coworker I’ve just met, what’s a good way to signal I’m joking so they don’t take it seriously?",correct_answer
20,"I am introverted but not shy, and I actually enjoy public speaking when the topic is something I know well.","After I give a talk at a conference, is it better for me to schedule a short period of alone time before hosting a Q&A session, and under what condition would I still be comfortable leading that Q&A?",correct_answer
21,I have a habit of doodling street grids in the margins of meeting agendas when I’m thinking.,"If I want to turn one of my street-grid doodles into a more complete imaginary neighborhood, what kinds of details should I add—like a name, landmarks, and street layout—to make it feel believable and easy to navigate?",correct_answer
22,I volunteer once a month to teach basic map-reading and transit skills to recent immigrants through a local nonprofit.,"If a new student in my class is visiting from abroad and needs to navigate the city using public transit, what resource could I give them during the lesson to help them understand the routes and how to use the fare card?",correct_answer
23,"I believe cities should be designed for the slowest and most vulnerable users first, not for the fastest vehicles.","If our city is asking for public input on a proposal to replace some street parking with protected bike lanes and wider sidewalks, would I likely support that change?",correct_answer
24,"I am careful with money and track my spending, but I splurge on high-quality shoes because I walk everywhere.","If my current walking shoes are starting to lose tread, should I buy a new pair now using my monthly shoe fund even if I could probably find a cheaper secondhand pair later?",correct_answer
25,"I am allergic to shellfish, so I always ask about shared fryers and keep antihistamines in my bag.","If I’m invited to a seafood-heavy restaurant for a group dinner, what’s the safest way for me to handle ordering and cross-contamination risks?",correct_answer
26,"I never learned to whistle, but I can mimic bird calls well enough to fool my own dog.","If I’m hiking off-leash with my dog and I need a quick, hands-free way to get them to return without yelling, what sound could I imitate to reliably call them back?",incorrect_wrong_answer
27,"I play the cello badly but joyfully, and I attend an amateur community orchestra rehearsal every Wednesday night.","If I have a surprise extra hour between work and rehearsal, what would be the most useful thing for me to do with that time to improve my performance?",correct_answer
28,"I learned to play cello as an adult after promising myself I would stop postponing ""someday"" hobbies.","If I want to keep my cello practice consistent while traveling for two weeks, what should I make sure to put on my calendar and how could I keep my monthly “new piece” reward on track?",correct_answer
29,I collect vintage transit tokens and keep them sorted in a small tackle box labeled by city.,"If I find an unfamiliar transit token at a flea market, what’s a good way to document its origin and the system’s history so I can file it properly in my tackle box collection later?",correct_answer
30,I have a soft spot for brutalist architecture and can talk for too long about concrete textures.,"If we only have an hour to explore downtown on foot, should we plan a route that passes through older industrial blocks around late afternoon so you can catch that sculptural light on concrete buildings for photos?",correct_answer
31,I prefer rainy weather to sunny weather because it makes the city feel quieter and more reflective.,"If we’re planning an afternoon outing and the forecast calls for steady rain, what kind of activity and pace would I probably enjoy most?",correct_answer
32,"I can’t fall asleep without a fan, even in winter, because I need the steady noise.","If the hotel room’s HVAC is quiet and there’s no fan available, what item should I pull from my travel bag to help me fall asleep?",correct_answer
33,"I am a meticulous cook who weighs ingredients, but I refuse to measure garlic on principle.","If I’m trying to recreate one of my dishes consistently for a dinner party, which ingredient is most likely to throw off repeatability even if I follow my written time-and-temperature notes exactly?",correct_answer
34,I make a spicy tomato jam every August and give it away in tiny jars with handwritten labels.,"If I want to make a batch of tomato jam this weekend, where should I get the tomatoes so I can use the ripest heirloom varieties?",incorrect_modified
35,"I hate cilantro, and I can detect it in a dish in about two seconds.","If a friend suggests a Mexican place known for cilantro-heavy salsa and guacamole, what’s the safest way for me to order so I don’t end up with cilantro in my meal?",correct_answer
36,"I run a small book club focused on climate fiction, and we rotate who picks the next title.","If our book club wants to revisit which novels sparked the best debates and highlighted actionable climate solutions, where should we look to find a record of all our past picks and discussion notes?",incorrect_wrong_answer
37,"I read multiple books at once: one nonfiction, one novel, and one poetry collection for short bursts.",What strategy can I use to study from three different textbooks at the same time without constantly losing my spot or forgetting what I was doing in each one?,correct_answer
38,"I keep a ""tiny wins"" list on my fridge to counteract my tendency to fixate on what isn’t finished.","If I’m feeling overwhelmed late in the evening and tempted to quit entirely, what quick strategy can I use to still make a bit of progress before I stop for the day?",correct_answer
39,"I have a scar on my left knee from slipping on a wet pier during a college field trip, and I still laugh about the dramatic fall.","If we’re going to walk along a wet boardwalk after rain, what kind of footwear should I choose to reduce my risk of slipping?",correct_answer
40,I once got stranded overnight in an Amtrak station during a blizzard and made friends by sharing snacks and playing cards.,"If my next trip includes a tight train connection and I might get stuck at the station for hours, what items am I likely to already have in my carry-on to help me pass the time and stay fed and powered up?",incorrect_wrong_answer
41,"I am uncomfortable with small talk, so I ask people specific questions like what they cooked last or what made them laugh recently.","If I’m about to network at a party and I’m worried I’ll blank when introducing myself, what’s a simple strategy I can use on my phone to keep the conversation moving?",correct_answer
42,"I practice saying no by using complete sentences without apologies, which has been harder than any grad school exam.","If a coworker pressures you to take on an extra task and you tend to overexplain when saying no, what quick phrase could you use to decline while keeping your boundary clear?",correct_answer
43,I am proud that I can navigate almost any city by building a mental map after one day of walking.,"If I have just two hours to explore an unfamiliar city before an appointment, what’s the smartest first stop or route I should choose so I can quickly get oriented and avoid getting lost later?",correct_answer
44,"I keep a tiny emergency kit in my pannier with a bike tube, a multitool, and a miniature first-aid pouch.","If I get a flat tire while riding and need to fix it quickly without hunting through all my bags, which pannier should I open to find the tools I need?",correct_answer
45,"I have a recurring dream about missing a train, and I interpret it as my brain reminding me to slow down.","If I want to start getting to work on time without rushing, what change to my morning schedule would make sense given that I’m spending time writing down my dreams right after waking up?",correct_answer
46,I prefer handwritten thank-you notes and keep a box of stamps because I like the physical act of appreciation.,"If I want to send a handwritten thank-you note the moment I hear good news or receive help, where should I keep my writing supplies so I can do it immediately?",incorrect_wrong_answer
47,"I don’t eat meat, but I do eat eggs from a neighbor who keeps backyard hens and trades for homemade jam.","If I want to make a quick vegetarian brunch using my fresh eggs and whatever herbs I’m currently growing, what egg-based dish should I cook—an omelet or a frittata?",incorrect_wrong_answer
48,"I feel most at peace near water, so I take a long walk along Lake Michigan whenever I’m overwhelmed.","If I’m feeling overwhelmed after work, what’s a simple routine I can use to decompress before heading home?",correct_answer
49,"I want to someday write a small, illustrated guide to my city’s hidden pedestrian paths and the stories behind them.","If I’m planning to wander through an unfamiliar neighborhood for a few hours this weekend, what’s a good item to bring along so I can quickly sketch new routes and capture interesting snippets of conversation as I discover them?",correct_answer
